CensusID,CensusName,MedianIncomeByPlaceofBirth,MedianIncome,TotalPopulation,AvgPopulation,Population5M,Population45M,Population4M,Population35M,Population3M
1400000US36055000200,"Census Tract 2, Monroe County, New York",10378.0000,13841.0000,2273.0000,2335,382835.0000,348755.0000,307747.0000,266798.0000,216070.0000
1400000US36055001000,"Census Tract 10, Monroe County, New York",32538.0000,47552.0000,3632.0000,3522,355805.0000,319042.0000,300247.0000,262930.0000,227695.0000
1400000US36055002900,"Census Tract 29, Monroe County, New York",31380.0000,45703.0000,4306.0000,4023,347030.0000,325718.0000,302976.0000,263669.0000,216226.0000
1400000US36055004100,"Census Tract 41, Monroe County, New York",13716.0000,26950.0000,1223.0000,1136,370745.0000,341920.0000,310840.0000,261941.0000,195919.0000
1400000US36055004900,"Census Tract 49, Monroe County, New York",11649.0000,20481.0000,1859.0000,2015,380089.0000,343075.0000,303664.0000,262619.0000,215931.0000
1400000US36055006400,"Census Tract 64, Monroe County, New York",16863.0000,25809.0000,2589.0000,2483,354965.0000,317460.0000,287758.0000,234051.0000,197533.0000
1400000US36055008400,"Census Tract 84, Monroe County, New York",17236.0000,32400.0000,2996.0000,2869,367305.0000,329477.0000,287954.0000,258230.0000,214558.0000
1400000US36055010100,"Census Tract 101, Monroe County, New York",31578.0000,54957.0000,3687.0000,3735,200800.0000,152794.0000,131142.0000,102459.0000,77505.0000
1400000US36055011605,"Census Tract 116.05, Monroe County, New York",39239.0000,73125.0000,1988.0000,2062,226285.0000,170119.0000,141979.0000,113697.0000,81568.0000
1400000US36055012700,"Census Tract 127, Monroe County, New York",53448.0000,97118.0000,3685.0000,3747,332455.0000,299251.0000,235832.0000,179061.0000,145437.0000
1400000US36055012900,"Census Tract 129, Monroe County, New York",45640.0000,80984.0000,5276.0000,5243,338629.0000,287258.0000,230709.0000,176586.0000,141095.0000
1400000US36055013507,"Census Tract 135.07, Monroe County, New York",35956.0000,74056.0000,5549.0000,5773,138039.0000,128908.0000,113756.0000,100302.0000,80575.0000
1400000US36055014001,"Census Tract 140.01, Monroe County, New York",30097.0000,51238.0000,4859.0000,4741,229506.0000,187022.0000,163250.0000,132458.0000,112098.0000
1400000US36055014505,"Census Tract 145.05, Monroe County, New York",28959.0000,60745.0000,5528.0000,5616,77873.0000,60150.0000,55491.0000,55491.0000,55491.0000
1400000US36055015303,"Census Tract 153.03, Monroe County, New York",31897.0000,59918.0000,3081.0000,3052,39968.0000,39968.0000,39968.0000,34764.0000,25703.0000
1400000US36057070200,"Census Tract 702, Montgomery County, New York",22328.0000,29669.0000,2200.0000,2229,39556.0000,35316.0000,31533.0000,31533.0000,28019.0000
1400000US36057070900,"Census Tract 709, Montgomery County, New York",14139.0000,25667.0000,1690.0000,1777,37824.0000,31533.0000,31533.0000,28019.0000,28019.0000
1400000US36059301500,"Census Tract 3015, Nassau County, New York",75549.0000,210972.0000,3052.0000,3095,345579.0000,266260.0000,203715.0000,135530.0000,101663.0000
1400000US36059302600,"Census Tract 3026, Nassau County, New York",51272.0000,106550.0000,2584.0000,2585,981583.0000,789792.0000,634311.0000,488697.0000,388911.0000
1400000US36059304002,"Census Tract 3040.02, Nassau County, New York",33648.0000,75525.0000,4352.0000,4365,548215.0000,446187.0000,363896.0000,274344.0000,205743.0000
1400000US36059405600,"Census Tract 4056, Nassau County, New York",40739.0000,103333.0000,4545.0000,4561,922086.0000,787734.0000,675013.0000,485930.0000,365094.0000
1400000US36059406802,"Census Tract 4068.02, Nassau County, New York",26861.0000,52500.0000,4279.0000,4439,747091.0000,617393.0000,521872.0000,410977.0000,333685.0000
1400000US36059407401,"Census Tract 4074.01, Nassau County, New York",26543.0000,62019.0000,5346.0000,5465,690905.0000,598220.0000,501038.0000,376342.0000,303236.0000
1400000US36059409100,"Census Tract 4091, Nassau County, New York",38885.0000,96505.0000,5018.0000,4978,621074.0000,528716.0000,425509.0000,340715.0000,264188.0000
1400000US36059411800,"Census Tract 4118, Nassau County, New York",49205.0000,101170.0000,5960.0000,5985,823781.0000,638884.0000,534424.0000,414919.0000,307776.0000
1400000US36059413100,"Census Tract 4131, Nassau County, New York",37429.0000,118578.0000,5165.0000,5110,576185.0000,538631.0000,406834.0000,307488.0000,260345.0000
1400000US36059414201,"Census Tract 4142.01, Nassau County, New York",30724.0000,62038.0000,5247.0000,5346,545738.0000,461543.0000,406669.0000,326607.0000,273560.0000
1400000US36059414501,"Census Tract 4145.01, Nassau County, New York",47181.0000,101806.0000,5238.0000,5251,430328.0000,381126.0000,302354.0000,244074.0000,178953.0000
1400000US36059415000,"Census Tract 4150, Nassau County, New York",52997.0000,122439.0000,5760.0000,5980,552773.0000,479028.0000,420931.0000,336479.0000,279995.0000
1400000US36059416402,"Census Tract 4164.02, Nassau County, New York",37078.0000,100650.0000,3156.0000,3069,298880.0000,255461.0000,202921.0000,145416.0000,102889.0000
1400000US36059416801,"Census Tract 4168.01, Nassau County, New York",51682.0000,104716.0000,2103.0000,2172,258227.0000,188933.0000,141942.0000,103967.0000,84848.0000
1400000US36059518700,"Census Tract 5187, Nassau County, New York",61708.0000,153411.0000,5671.0000,5345,264457.0000,227318.0000,206780.0000,170730.0000,135534.0000
1400000US36059519704,"Census Tract 5197.04, Nassau County, New York",56450.0000,134118.0000,3198.0000,3334,346499.0000,301570.0000,230435.0000,184075.0000,150651.0000
1400000US36059521100,"Census Tract 5211, Nassau County, New York",43132.0000,125304.0000,4804.0000,4773,489201.0000,412772.0000,347428.0000,316144.0000,257883.0000
1400000US36059522700,"Census Tract 5227, Nassau County, New York",50503.0000,132875.0000,4891.0000,4941,482518.0000,439612.0000,363915.0000,299724.0000,226477.0000
1400000US36061001300,"Census Tract 13, New York County, New York",102773.0000,139281.0000,4805.0000,4537,2396908.0000,1958198.0000,1579632.0000,1281416.0000,965030.0000
1400000US36061002202,"Census Tract 22.02, New York County, New York",56642.0000,90703.0000,1947.0000,1937,3012246.0000,2537165.0000,2035071.0000,1553569.0000,1217244.0000
1400000US36061003400,"Census Tract 34, New York County, New York",56307.0000,75340.0000,6493.0000,6222,3047410.0000,2571562.0000,2109578.0000,1602988.0000,1208221.0000
1400000US36061005501,"Census Tract 55.01, New York County, New York",101596.0000,160121.0000,4709.0000,4705,2740033.0000,2317650.0000,1857194.0000,1475442.0000,1164628.0000
1400000US36061006700,"Census Tract 67, New York County, New York",78390.0000,99671.0000,5277.0000,5271,2589073.0000,2180066.0000,1770157.0000,1461271.0000,1124760.0000
1400000US36061007800,"Census Tract 78, New York County, New York",70172.0000,118866.0000,8610.0000,7995,3060422.0000,2633281.0000,2217430.0000,1787324.0000,1383150.0000
1400000US36061008300,"Census Tract 83, New York County, New York",41250.0000,69485.0000,4127.0000,3994,2527151.0000,2174881.0000,1840553.0000,1480362.0000,1158098.0000
1400000US36061008800,"Census Tract 88, New York County, New York",71706.0000,103667.0000,7047.0000,6840,3069598.0000,2663780.0000,2227738.0000,1835151.0000,1398464.0000
1400000US36061009100,"Census Tract 91, New York County, New York",87034.0000,116653.0000,6662.0000,6402,2675875.0000,2332715.0000,1957063.0000,1602718.0000,1261007.0000
1400000US36061010400,"Census Tract 104, New York County, New York",71750.0000,120217.0000,1008.0000,914,2849725.0000,2449195.0000,2101317.0000,1816678.0000,1431394.0000
1400000US36061011202,"Census Tract 112.02, New York County, New York",94063.0000,163750.0000,266.0000,257,2941158.0000,2516971.0000,2135283.0000,1824474.0000,1428996.0000
1400000US36061012600,"Census Tract 126, New York County, New York",92565.0000,133878.0000,12920.0000,12658,3145795.0000,2666154.0000,2204045.0000,1788578.0000,1395469.0000
1400000US36061013900,"Census Tract 139, New York County, New York",73140.0000,101912.0000,9600.0000,8702,2668708.0000,2333282.0000,2032419.0000,1701824.0000,1384012.0000
1400000US36061014801,"Census Tract 148.01, New York County, New York",87375.0000,154306.0000,3198.0000,3164,3103382.0000,2588063.0000,2165954.0000,1768233.0000,1361529.0000
1400000US36061016600,"Census Tract 166, New York County, New York",26064.0000,40593.0000,7024.0000,7555,3113771.0000,2593687.0000,2159833.0000,1745235.0000,1364939.0000
1400000US36061017500,"Census Tract 175, New York County, New York",68107.0000,146042.0000,10500.0000,10263,2730194.0000,2324994.0000,1917005.0000,1595330.0000,1272258.0000
1400000US36061018900,"Census Tract 189, New York County, New York",14496.0000,26529.0000,12236.0000,12939,2834748.0000,2426641.0000,2006221.0000,1684975.0000,1373191.0000
1400000US36061020101,"Census Tract 201.01, New York County, New York",32266.0000,112708.0000,1781.0000,1813,2800493.0000,2385277.0000,2041428.0000,1751133.0000,1386385.0000
1400000US36061021400,"Census Tract 214, New York County, New York",26473.0000,53424.0000,3433.0000,3332,2891253.0000,2552580.0000,2210471.0000,1850856.0000,1477280.0000
