hour,lat,long,base,MedianIncomeByPlaceofBirth,MedianIncome,AvgPopulation,UserGroup
30,40.678,-73.8879,B02617,21164.0,36553.0,1783.0,0
23,40.8864,-73.9072,B02682,49596.0,93839.0,5103.0,1
28,40.8491,-73.9147,B02617,13732.0,24256.0,6298.0,0
14,40.8865,-73.8297,B02682,32917.0,74583.0,4054.0,1
29,40.6399,-73.8965,B02598,35685.0,85526.0,1774.0,1
16,40.7856,-73.9502,B02598,56977.0,96471.0,4830.0,1
55,40.6528,-73.8382,B02617,37025.0,89130.0,7736.0,1
46,40.7899,-73.9704,B02682,57008.0,82176.0,9476.0,1
12,40.8157,-73.9366,B02682,26473.0,53424.0,3332.0,0
0,40.682,-73.9937,B02598,74976.0,154375.0,4543.0,1
4,40.9074,-73.3435,B02617,47652.0,108850.0,7393.0,1
33,40.6634,-73.9463,B02598,25565.0,42628.0,5997.0,0
54,40.7113,-73.9087,B02617,33580.0,68095.0,4795.0,1
58,41.0086,-73.8522,B02512,65388.0,130586.0,4570.0,1
7,40.9793,-73.8156,B02598,58309.0,140000.0,1641.0,1
41,40.7487,-73.7592,B02617,50125.0,99375.0,1891.0,1
12,40.9126,-73.8983,B02617,38772.0,54637.0,3502.0,0
24,40.8276,-73.202,B02617,43212.0,119505.0,4115.0,1
46,40.9551,-73.734,B02617,40787.0,72096.0,4861.0,1
7,40.77,-73.8157,B02682,24647.0,52014.0,3344.0,0
42,40.6459,-73.958,B02598,21125.0,39468.0,3965.0,0
17,40.7941,-73.9349,B02617,27965.0,48353.0,3728.0,0
45,41.002,-73.6643,B02617,21550.0,40164.0,5082.0,0
23,40.7261,-73.4794,B02617,41713.0,123087.0,5919.0,1
27,41.1939,-73.7689,B02598,96518.0,238083.0,6066.0,1
35,40.871,-73.4288,B02617,56152.0,107917.0,4972.0,1
48,40.594,-73.7642,B02598,21250.0,26766.0,4432.0,0
48,40.594,-73.7642,B02598,21250.0,26766.0,4432.0,0
53,41.0332,-73.7855,B02682,27500.0,76438.0,6224.0,1
5,40.9525,-73.7347,B02598,42490.0,102567.0,6821.0,1
51,40.8847,-73.8317,B02598,32917.0,74583.0,4054.0,1
10,40.742,-73.7649,B02598,36073.0,66486.0,5906.0,1
20,40.8006,-73.6612,B02598,52574.0,118857.0,4975.0,1
19,40.7088,-73.8365,B02617,47694.0,71585.0,2113.0,1
15,40.8034,-73.8739,B02617,16158.0,32565.0,6601.0,0
2,40.8243,-73.6669,B02598,74306.0,166635.0,2047.0,1
59,40.6867,-73.7376,B02512,45599.0,130865.0,1747.0,1
19,40.758,-73.7777,B02598,36865.0,81458.0,2494.0,1
58,40.6709,-73.8844,B02598,20344.0,39250.0,2329.0,0
30,40.6574,-73.9582,B02598,35499.0,57061.0,4622.0,0
18,40.7605,-73.9325,B02682,22500.0,34063.0,3910.0,0
1,41.1448,-74.0492,B02682,30941.0,99323.0,7995.0,1
6,40.6687,-73.9047,B02598,9375.0,10767.0,6254.0,0
40,40.7838,-73.4219,B02617,42310.0,119985.0,7613.0,1
34,40.7876,-73.837,B02617,30325.0,80568.0,3846.0,1
57,40.6331,-73.9491,B02617,35870.0,62917.0,3352.0,0
28,40.6179,-74.0368,B02617,47829.0,67015.0,3160.0,1
20,41.024,-73.7356,B02598,26919.0,196094.0,5839.0,1
14,40.6534,-73.9379,B02598,35091.0,45972.0,2856.0,0
49,40.867,-73.8444,B02598,31789.0,61929.0,3203.0,0
21,40.6796,-73.7344,B02682,34507.0,97500.0,2278.0,1
11,40.6057,-73.9935,B02617,27388.0,49683.0,3988.0,0
49,40.776,-73.4635,B02598,50215.0,126396.0,5386.0,1
9,40.6997,-73.9512,B02598,17500.0,36225.0,8953.0,0
51,40.9034,-73.8505,B02617,22580.0,51434.0,4776.0,0
42,40.7918,-73.4938,B02512,67297.0,161964.0,3571.0,1
40,40.6424,-73.9428,B02598,25922.0,58819.0,2412.0,0
46,40.6461,-73.5267,B02617,48867.0,132275.0,5216.0,1
31,40.6428,-73.957,B02617,21125.0,39468.0,3965.0,0
51,40.7611,-73.7697,B02617,43664.0,72027.0,3150.0,1
29,40.6084,-73.9493,B02617,31023.0,62989.0,2168.0,0
13,40.6309,-73.9714,B02617,20405.0,41566.0,5316.0,0
0,40.8929,-73.844,B02598,34005.0,69800.0,1996.0,1
23,40.653,-73.9125,B02617,30322.0,55238.0,2987.0,0
10,40.6773,-73.7926,B02682,27961.0,63667.0,2147.0,0
37,40.9112,-73.7844,B02598,19688.0,31220.0,6275.0,0
56,40.808,-73.9593,B02617,37436.0,62331.0,3379.0,0
28,40.7032,-73.5859,B02598,21483.0,68242.0,3960.0,1
23,40.6743,-73.9785,B02598,79221.0,120272.0,4198.0,1
28,40.7672,-73.99,B02617,46746.0,64654.0,7000.0,0
24,40.6209,-73.7313,B02598,35361.0,93558.0,6652.0,1
0,40.7694,-73.9024,B02617,41066.0,69500.0,1842.0,1
18,40.8318,-73.8272,B02682,31199.0,76328.0,2210.0,1
35,40.7581,-73.7003,B02682,60945.0,139167.0,8504.0,1
50,40.7533,-73.8784,B02617,27690.0,52667.0,7779.0,0
26,40.7437,-73.8563,B02617,22108.0,51518.0,5393.0,0
19,40.6141,-73.9805,B02682,21307.0,44799.0,4676.0,0
59,40.8294,-73.8532,B02617,20132.0,40129.0,6535.0,0
19,40.7573,-73.783,B02617,27464.0,60769.0,3415.0,0
24,40.8446,-73.939,B02682,18799.0,50609.0,13903.0,0
13,40.8626,-73.651,B02682,30973.0,79067.0,5262.0,1
28,40.7036,-73.7995,B02617,26988.0,41488.0,3247.0,0
38,40.9137,-73.8331,B02617,30234.0,50984.0,6418.0,0
59,40.7579,-73.7896,B02617,35756.0,63950.0,1571.0,0
27,40.6267,-73.7215,B02682,35361.0,93558.0,6652.0,1
14,40.6785,-73.9137,B02598,33920.0,50761.0,4608.0,0
21,40.709,-73.828,B02617,32565.0,60753.0,3609.0,0
35,41.0389,-73.7831,B02598,52669.0,124500.0,5966.0,1
34,41.0597,-73.8329,B02682,53514.0,125164.0,6335.0,1
22,40.6415,-73.6984,B02617,49907.0,104516.0,6043.0,1
24,40.6986,-73.8939,B02617,36755.0,92533.0,4552.0,1
9,40.836,-73.9416,B02682,19812.0,38579.0,15642.0,0
59,40.8556,-73.9035,B02617,15053.0,21394.0,4142.0,0
15,40.8103,-73.9102,B02617,19783.0,31638.0,3935.0,0
55,40.6407,-74.0185,B02598,15250.0,41061.0,5787.0,0
52,40.6799,-73.9401,B02617,26997.0,45900.0,2895.0,0
1,40.7455,-73.9326,B02598,31822.0,43750.0,979.0,0
55,40.8613,-73.1289,B02598,41703.0,97857.0,4403.0,1
21,40.7379,-73.6162,B02682,64722.0,135608.0,4226.0,1
24,40.8222,-73.9561,B02617,17450.0,42146.0,8022.0,0
26,40.7229,-73.8423,B02598,61821.0,84159.0,5626.0,1
21,40.9493,-72.9057,B02598,54848.0,127478.0,4557.0,1
44,40.6946,-73.621,B02682,26326.0,59278.0,8188.0,0
40,40.7691,-73.9811,B02682,102633.0,159222.0,5465.0,1
34,40.8274,-73.8984,B02617,22564.0,36500.0,5008.0,0
51,40.705,-73.7445,B02617,30962.0,66506.0,1913.0,1
38,40.6877,-73.7653,B02598,31742.0,70662.0,3348.0,1
39,40.6293,-74.0289,B02617,37813.0,71781.0,2975.0,1
59,40.6223,-73.9869,B02682,22181.0,52692.0,3782.0,0
17,40.8034,-72.8188,B02617,32389.0,56071.0,7314.0,0
11,40.7203,-73.7782,B02598,29521.0,61280.0,4204.0,0
41,40.8273,-73.8214,B02682,28361.0,71319.0,2013.0,1
32,40.8245,-73.0221,B02617,36110.0,86771.0,4869.0,1
43,40.61,-73.9533,B02512,30062.0,60568.0,3638.0,0
44,40.6983,-73.7632,B02512,34632.0,82396.0,1299.0,1
26,40.7408,-73.8571,B02617,14876.0,28686.0,3442.0,0
14,40.7032,-73.8797,B02617,39939.0,79813.0,2033.0,1
41,40.8395,-73.4809,B02512,69250.0,225208.0,4319.0,1
46,40.9077,-73.7791,B02598,25161.0,56369.0,4677.0,0
37,41.0868,-73.8106,B02617,8593.0,46429.0,1921.0,0
26,40.717,-73.7896,B02598,18679.0,76458.0,1685.0,1
39,40.9935,-73.7552,B02617,58997.0,127188.0,2944.0,1
21,40.6871,-73.9677,B02617,55991.0,90487.0,3632.0,1
32,40.6463,-73.9948,B02617,17389.0,38919.0,3206.0,0
14,40.7531,-73.9836,B02598,80074.0,133142.0,2065.0,1
28,40.6053,-73.9693,B02682,24129.0,60331.0,3501.0,0
52,40.6121,-73.9974,B02617,23122.0,53813.0,4132.0,0
25,40.6959,-73.7446,B02512,32145.0,73385.0,2387.0,1
11,40.7014,-73.6999,B02598,31788.0,86944.0,5665.0,1
53,40.8123,-73.1017,B02598,41918.0,97457.0,4342.0,1
50,40.6601,-73.9983,B02512,30154.0,64612.0,4297.0,0
14,40.7389,-73.8765,B02617,22302.0,47358.0,4415.0,0
16,40.5842,-73.9686,B02598,27853.0,45938.0,4264.0,0
33,40.7233,-73.8495,B02617,42092.0,75082.0,4951.0,1
17,40.7493,-73.5102,B02617,40301.0,112125.0,6371.0,1
26,40.8275,-73.9398,B02598,22156.0,31188.0,1931.0,0
59,40.7331,-73.8922,B02598,33269.0,62708.0,1914.0,0
47,40.7101,-73.7426,B02617,27214.0,95714.0,1696.0,1
0,40.6111,-74.0012,B02598,23122.0,53813.0,4132.0,0
24,40.5814,-74.0876,B02598,33726.0,66404.0,5846.0,1
1,40.6251,-73.9617,B02617,20420.0,32500.0,4212.0,0
11,40.9731,-73.8295,B02598,39375.0,75000.0,2750.0,1
51,40.7474,-73.8537,B02512,18017.0,44659.0,4056.0,0
25,40.7559,-73.9314,B02617,22604.0,47786.0,2001.0,0
55,40.7708,-73.9874,B02617,97180.0,190167.0,3384.0,1
27,40.7491,-73.8852,B02617,31044.0,60531.0,7446.0,0
39,40.8766,-73.2371,B02512,39632.0,92309.0,6101.0,1
55,40.6438,-74.0067,B02598,17567.0,38696.0,8144.0,0
54,40.7736,-73.9598,B02598,91964.0,165049.0,5896.0,1
51,40.7096,-73.9519,B02598,42371.0,82730.0,4756.0,1
28,40.7435,-73.9727,B02617,87389.0,152120.0,2828.0,1
33,40.7803,-73.9101,B02617,25341.0,48030.0,4012.0,0
21,40.736,-73.8799,B02598,24198.0,49129.0,5170.0,0
55,40.7681,-73.8051,B02617,29659.0,73487.0,1174.0,1
57,40.8253,-73.3,B02682,31021.0,93542.0,4667.0,1
55,40.6879,-73.9233,B02598,27853.0,38056.0,3170.0,0
27,40.768,-73.8674,B02617,22289.0,62031.0,3820.0,0
37,40.6414,-73.9616,B02617,32756.0,48445.0,7717.0,0
40,40.7531,-73.8612,B02598,21360.0,47386.0,7208.0,0
30,40.6858,-73.9986,B02617,68590.0,158194.0,3867.0,1
52,40.6922,-73.9441,B02682,27551.0,42398.0,4591.0,0
34,40.8676,-73.8353,B02617,29974.0,68893.0,2317.0,1
33,40.6823,-73.7696,B02617,28322.0,74542.0,3580.0,1
5,40.6592,-73.8991,B02598,31444.0,59792.0,1939.0,0
38,40.7197,-73.998,B02617,37179.0,80909.0,8336.0,1
18,40.8697,-73.8953,B02598,18903.0,38199.0,4974.0,0
55,40.8177,-73.8042,B02617,35563.0,76600.0,2794.0,1
48,40.9507,-73.8533,B02598,32413.0,76445.0,7418.0,1
40,40.8023,-73.9568,B02682,37343.0,57589.0,8289.0,0
38,40.6021,-73.7404,B02617,21088.0,36520.0,3932.0,0
59,40.6411,-73.9825,B02598,15253.0,32685.0,3313.0,0
32,40.9135,-73.8929,B02617,16141.0,39275.0,7069.0,0
56,40.788,-73.7888,B02617,51225.0,95395.0,2497.0,1
27,40.6936,-73.9027,B02682,33571.0,60688.0,1365.0,0
41,40.7536,-73.9936,B02512,66038.0,105887.0,5034.0,1
46,40.7778,-73.3115,B02682,37386.0,95040.0,3060.0,1
0,40.7855,-73.95,B02617,56977.0,96471.0,4830.0,1
32,40.9437,-73.784,B02598,76500.0,199375.0,5247.0,1
5,40.6683,-73.9162,B02512,22566.0,41875.0,3339.0,0
43,40.8457,-73.891,B02617,16737.0,30928.0,5719.0,0
57,40.7487,-73.9083,B02617,33804.0,72981.0,1471.0,1
7,40.8854,-73.629,B02598,41304.0,122083.0,3589.0,1
39,40.7338,-73.8501,B02617,32412.0,58718.0,4483.0,0
36,40.7682,-73.5879,B02617,49607.0,140819.0,4195.0,1
20,40.7468,-73.7118,B02617,37124.0,109697.0,3866.0,1
44,40.8688,-73.1284,B02598,41108.0,101736.0,4260.0,1
35,40.6311,-73.5815,B02598,36657.0,92569.0,4163.0,1
47,40.7247,-73.9483,B02617,42164.0,57614.0,3945.0,0
32,40.8773,-73.8665,B02617,19609.0,27854.0,3884.0,0
54,40.6901,-73.9424,B02598,21484.0,38631.0,1865.0,0
5,40.7116,-73.6401,B02598,21702.0,35682.0,4896.0,0
43,40.7598,-73.8011,B02598,23045.0,43938.0,2312.0,0
36,40.7337,-73.8078,B02617,28025.0,56936.0,11635.0,0
36,40.6493,-73.8432,B02617,37025.0,89130.0,7736.0,1
2,40.7712,-73.8027,B02598,41440.0,79432.0,1885.0,1
22,40.6771,-73.8217,B02617,22405.0,52443.0,3132.0,0
40,40.7206,-73.7973,B02617,9385.0,76932.0,4690.0,1
53,40.9315,-73.8255,B02512,51944.0,139353.0,3519.0,1
29,40.7048,-73.8341,B02617,36094.0,63448.0,5616.0,0
3,40.6431,-73.5224,B02512,53955.0,131985.0,4497.0,1
25,40.6518,-73.584,B02617,27736.0,38448.0,3645.0,0
30,40.9345,-73.8372,B02617,36168.0,77563.0,5131.0,1
29,40.5994,-73.9691,B02682,35871.0,42192.0,2028.0,0
21,40.6773,-73.9807,B02682,63851.0,130156.0,4137.0,1
37,40.6189,-74.0951,B02617,40758.0,69539.0,2390.0,1
23,40.634,-73.9602,B02598,25943.0,51528.0,3726.0,0
39,40.687,-73.8629,B02682,25013.0,80352.0,4208.0,1
32,40.6834,-73.8197,B02617,30845.0,76414.0,3828.0,1
49,41.0012,-73.8719,B02617,64455.0,180227.0,4826.0,1
17,40.7594,-73.7567,B02598,27048.0,65204.0,4733.0,1
39,41.0401,-73.8742,B02617,61690.0,133194.0,6559.0,1
57,40.8641,-73.9213,B02682,18401.0,34024.0,12188.0,0
14,40.6443,-74.0112,B02598,20250.0,47143.0,5518.0,0
20,40.8615,-73.8912,B02617,14685.0,22468.0,5991.0,0
50,40.66,-73.9616,B02617,32617.0,61974.0,5811.0,0
5,40.7372,-73.9246,B02682,34227.0,73500.0,3077.0,1
32,40.9251,-72.7339,B02617,27842.0,46182.0,7775.0,0
48,40.8013,-73.0228,B02617,39307.0,103333.0,6883.0,1
15,40.8753,-73.8875,B02682,17424.0,36681.0,3158.0,0
40,40.6471,-73.6383,B02598,38030.0,83289.0,4069.0,1
41,40.9362,-72.8013,B02617,27842.0,46182.0,7775.0,0
47,40.6284,-73.9543,B02682,46833.0,153438.0,926.0,1
48,40.6257,-73.9703,B02598,32118.0,72271.0,1757.0,1
7,40.8755,-73.8734,B02598,18702.0,42625.0,4154.0,0
37,40.7335,-73.8439,B02617,36344.0,65833.0,3418.0,1
21,40.657,-73.4256,B02617,38035.0,70024.0,7729.0,1
45,40.8676,-73.9244,B02617,30137.0,73420.0,8440.0,1
1,40.8082,-73.9634,B02617,12647.0,38750.0,3238.0,0
16,40.6085,-73.9502,B02598,30062.0,60568.0,3638.0,0
51,40.6849,-73.9947,B02617,68590.0,158194.0,3867.0,1
59,40.6774,-73.9587,B02617,39027.0,70125.0,6042.0,1
54,40.8889,-73.912,B02617,68571.0,87188.0,5296.0,1
38,40.7702,-73.954,B02617,57196.0,89282.0,10094.0,1
11,40.7531,-73.7653,B02598,37449.0,74286.0,2235.0,1
35,40.6951,-73.952,B02617,11646.0,20776.0,5613.0,0
38,40.6021,-73.7404,B02617,21088.0,36520.0,3932.0,0
7,40.9794,-73.8308,B02617,42324.0,87159.0,3544.0,1
35,40.8239,-73.39,B02598,36720.0,96438.0,4570.0,1
17,40.5946,-73.9815,B02598,21595.0,53269.0,2749.0,0
7,40.7512,-73.6745,B02598,46796.0,139250.0,4483.0,1
42,40.6919,-73.925,B02598,22256.0,46582.0,4359.0,0
29,40.8677,-73.8839,B02682,23411.0,50440.0,6031.0,0
39,40.6482,-73.9445,B02617,24620.0,52214.0,3174.0,0
57,40.7206,-74.0101,B02598,85525.0,157652.0,5632.0,1
36,40.6825,-73.8359,B02598,23958.0,53674.0,2922.0,0
12,40.6672,-73.794,B02682,36481.0,82586.0,2526.0,1
3,40.6431,-73.5224,B02512,53955.0,131985.0,4497.0,1
47,40.7034,-73.8749,B02598,40546.0,79583.0,1483.0,1
4,40.7332,-73.8621,B02598,30725.0,44692.0,3716.0,0
22,40.7747,-73.9482,B02512,69206.0,103646.0,5334.0,1
8,40.681,-73.9306,B02682,36002.0,58462.0,4198.0,0
19,40.8275,-73.9398,B02617,22156.0,31188.0,1931.0,0
47,40.841,-73.8981,B02617,15870.0,25403.0,1002.0,0
5,40.7611,-73.8303,B02617,25302.0,41612.0,2263.0,0
47,40.9625,-73.856,B02617,37725.0,95788.0,4690.0,1
57,40.6537,-73.9627,B02617,26297.0,51082.0,6144.0,0
28,40.8526,-73.9221,B02512,12041.0,13519.0,3866.0,0
42,40.7476,-73.7623,B02682,50125.0,99375.0,1891.0,1
52,40.667,-73.9889,B02682,51793.0,102835.0,3385.0,1
43,40.7062,-73.9307,B02598,18167.0,53125.0,2337.0,0
