hour,lat,long,base,MedianIncomeByPlaceofBirth,MedianIncome,TotalPopulation,AvgPopulation,Population5M,Population45M,Population4M,Population35M,Population3M,UserGroup
51,40.8837,-73.8529,B02617,35833.0,75962.0,3442.0,3004.0,1860858.0,1628639.0,1351564.0,1090890.0,891996.0,1
0,41.133,-73.7793,B02598,52237.0,113071.0,7275.0,7134.0,153309.0,136048.0,89720.0,79151.0,70108.0,1
16,40.6337,-73.972,B02598,24602.0,50156.0,6107.0,6146.0,2387651.0,2154308.0,1957875.0,1680586.0,1423609.0,0
59,40.8677,-73.9215,B02682,30137.0,73420.0,8573.0,8440.0,2331101.0,2008989.0,1763260.0,1383092.0,1067771.0,1
27,40.9647,-73.7354,B02598,32334.0,67868.0,4900.0,4696.0,354408.0,287463.0,212063.0,155365.0,127255.0,1
15,40.6166,-74.009,B02617,35559.0,75750.0,1547.0,1487.0,1738365.0,1534389.0,1321484.0,1102347.0,858672.0,1
43,40.7236,-73.8385,B02598,58175.0,93484.0,4178.0,4033.0,2301360.0,1988561.0,1709966.0,1386252.0,1119290.0,1
27,40.6834,-73.891,B02617,28699.0,48837.0,2837.0,2848.0,2814620.0,2408257.0,1855683.0,1489437.0,1122808.0,0
46,40.9231,-72.7163,B02598,27842.0,46182.0,7160.0,7775.0,60823.0,56266.0,41587.0,35848.0,25411.0,0
38,40.7669,-73.9345,B02617,45625.0,81667.0,1828.0,1596.0,3316997.0,2762048.0,2210115.0,1736556.0,1328843.0,1
19,40.6029,-73.9826,B02617,21974.0,36292.0,3533.0,3117.0,1625578.0,1436072.0,1296182.0,1155021.0,954257.0,0
10,40.6974,-73.9318,B02617,24669.0,46007.0,3053.0,3157.0,3412525.0,2844084.0,2315138.0,1772344.0,1337072.0,0
21,40.7613,-73.53,B02598,38264.0,105724.0,6797.0,6532.0,517302.0,441086.0,342280.0,288431.0,225258.0,1
11,40.7322,-74.0076,B02598,102607.0,198636.0,2568.0,2442.0,2388302.0,1993765.0,1656304.0,1354123.0,1071956.0,1
16,40.5683,-74.0928,B02617,40040.0,79525.0,5417.0,5677.0,479279.0,383035.0,310176.0,247821.0,202634.0,1
18,40.7095,-73.8287,B02512,32565.0,60753.0,3740.0,3609.0,2169077.0,1854263.0,1546472.0,1191081.0,932041.0,0
0,40.8774,-73.8666,B02682,19609.0,27854.0,3904.0,3884.0,1994086.0,1820175.0,1614189.0,1336089.0,1082019.0,0
24,40.8086,-73.9488,B02617,31203.0,52826.0,3323.0,3090.0,2904221.0,2459480.0,2129785.0,1839539.0,1462422.0,0
41,40.6024,-74.1225,B02617,34770.0,103802.0,7877.0,7329.0,556400.0,482107.0,423511.0,378617.0,339823.0,1
48,40.9507,-73.8533,B02598,32413.0,76445.0,7261.0,7418.0,788256.0,592682.0,480865.0,386313.0,295753.0,1
11,40.8646,-73.9075,B02617,43621.0,68971.0,1969.0,1995.0,2274483.0,2060805.0,1855739.0,1606266.0,1273715.0,1
53,40.9477,-73.8423,B02512,55483.0,110572.0,4984.0,4846.0,768104.0,633650.0,535511.0,429076.0,344468.0,1
17,40.6759,-73.4716,B02617,49474.0,117375.0,2090.0,2106.0,412450.0,373093.0,297898.0,253386.0,208068.0,1
0,40.7719,-73.9891,B02682,39637.0,61595.0,8332.0,7682.0,2608544.0,2258700.0,1890328.0,1613601.0,1328660.0,0
53,40.7259,-73.4565,B02512,33431.0,108564.0,3955.0,3931.0,521119.0,432398.0,345207.0,286627.0,216797.0,1
57,40.6288,-73.957,B02617,27984.0,55111.0,3725.0,3824.0,2403991.0,2197468.0,2016642.0,1727019.0,1466343.0,0
12,40.7367,-73.0824,B02682,54963.0,122230.0,3839.0,3784.0,145002.0,119453.0,98131.0,81094.0,57395.0,1
54,40.6927,-73.9861,B02617,81591.0,126726.0,1237.0,1124.0,2860859.0,2406483.0,1969099.0,1570811.0,1156159.0,1
26,40.6565,-74.0033,B02617,30154.0,64612.0,4459.0,4297.0,2631236.0,2164347.0,1775958.0,1386962.0,1057429.0,0
45,40.7071,-73.9547,B02617,26707.0,37703.0,3995.0,4202.0,3303409.0,2666721.0,2193933.0,1793459.0,1423778.0,0
6,40.6638,-73.9358,B02617,24167.0,46632.0,5397.0,5660.0,2852099.0,2502930.0,2158278.0,1835129.0,1487593.0,0
59,40.6395,-73.6413,B02598,45352.0,99769.0,5653.0,6004.0,509255.0,449782.0,357645.0,288140.0,204992.0,1
41,40.6573,-73.7646,B02682,25048.0,75729.0,5097.0,4958.0,1169369.0,959404.0,785534.0,581087.0,398339.0,1
37,40.5847,-74.0866,B02617,30942.0,67163.0,8895.0,8942.0,772133.0,617248.0,437826.0,289439.0,215730.0,1
5,40.7702,-73.8055,B02617,29659.0,73487.0,1167.0,1174.0,1535716.0,1296798.0,995262.0,714691.0,510691.0,1
45,40.8009,-73.9599,B02617,30655.0,41205.0,9361.0,9360.0,2849923.0,2404215.0,2043916.0,1724209.0,1369052.0,0
15,40.7882,-73.7867,B02598,51225.0,95395.0,2790.0,2497.0,980170.0,723968.0,573097.0,444395.0,346475.0,1
47,40.841,-73.8981,B02617,15870.0,25403.0,996.0,1002.0,2474422.0,2188910.0,1980449.0,1706192.0,1537470.0,0
42,40.6813,-73.886,B02598,26063.0,58482.0,2369.0,2375.0,2776710.0,2338447.0,1822495.0,1431120.0,1073309.0,0
39,40.7583,-73.9603,B02617,102313.0,126607.0,6742.0,7139.0,3193760.0,2720095.0,2271964.0,1799800.0,1408109.0,1
39,40.869,-73.8954,B02598,18903.0,38199.0,5149.0,4974.0,2171445.0,2001326.0,1796766.0,1585479.0,1283460.0,0
30,40.6863,-73.8201,B02617,26243.0,64219.0,4722.0,4862.0,1904204.0,1471681.0,1190491.0,947385.0,781672.0,0
51,40.6024,-74.0101,B02598,28313.0,59338.0,2571.0,2437.0,1528070.0,1354708.0,1170213.0,1013537.0,828050.0,0
25,40.6436,-73.8878,B02598,40938.0,80395.0,2058.0,1767.0,2107179.0,1742832.0,1356491.0,974941.0,714625.0,1
26,40.6173,-73.9851,B02617,19764.0,46454.0,4280.0,4347.0,1981461.0,1743267.0,1524718.0,1367367.0,1220819.0,0
57,40.6324,-74.0285,B02617,36024.0,62910.0,3566.0,3528.0,1771136.0,1453385.0,1161964.0,915293.0,718481.0,0
16,40.798,-73.3485,B02617,65000.0,197411.0,3570.0,3430.0,324925.0,245097.0,197839.0,160669.0,113769.0,1
1,40.704,-73.6387,B02598,28447.0,68418.0,2895.0,2967.0,777512.0,683660.0,556878.0,425901.0,320487.0,1
44,40.8723,-73.5307,B02512,41948.0,92952.0,6104.0,6226.0,118039.0,96194.0,73787.0,62420.0,35805.0,1
1,40.8953,-73.8389,B02598,34656.0,90132.0,1964.0,2054.0,1477362.0,1274757.0,1092758.0,865385.0,602386.0,1
45,40.8871,-73.1953,B02598,61615.0,170966.0,2949.0,2884.0,178640.0,153233.0,124133.0,99785.0,86028.0,1
46,40.6259,-74.0751,B02617,9033.0,25938.0,2376.0,2186.0,982056.0,815186.0,621962.0,446955.0,314645.0,0
34,40.8718,-73.8873,B02682,27385.0,46627.0,7897.0,7429.0,2119889.0,1912881.0,1739847.0,1503952.0,1179583.0,0
58,40.6372,-74.0153,B02617,15250.0,41061.0,5945.0,5787.0,1995490.0,1668768.0,1388017.0,1102487.0,806979.0,0
47,41.0975,-73.9797,B02617,58661.0,144688.0,6435.0,6193.0,279754.0,246257.0,190512.0,168626.0,118351.0,1
58,40.7595,-73.9945,B02617,44854.0,69507.0,8505.0,7917.0,2655672.0,2305387.0,1985284.0,1690059.0,1372058.0,1
55,40.7015,-73.9443,B02598,20926.0,40272.0,2667.0,2523.0,3341286.0,2745174.0,2235634.0,1823808.0,1387549.0,0
14,40.8378,-73.1837,B02617,52588.0,125264.0,4037.0,4192.0,288260.0,257599.0,217160.0,174809.0,114186.0,1
6,40.7747,-73.8971,B02617,41250.0,83155.0,2812.0,2741.0,3123556.0,2574409.0,2074390.0,1473125.0,1102558.0,1
59,40.8413,-73.6363,B02682,50183.0,115691.0,5085.0,5069.0,154570.0,141823.0,129232.0,102157.0,89780.0,1
49,40.8155,-73.9486,B02598,24558.0,33958.0,4520.0,4128.0,2819391.0,2426319.0,2157614.0,1798918.0,1455825.0,0
59,40.7872,-73.9738,B02617,64906.0,128064.0,8226.0,8491.0,2827568.0,2417527.0,2010474.0,1656170.0,1332441.0,1
39,40.7027,-73.8973,B02617,36548.0,76361.0,3375.0,3572.0,3151384.0,2573836.0,2142793.0,1724680.0,1278070.0,1
59,40.7826,-73.9483,B02682,65056.0,93078.0,15218.0,15502.0,3120001.0,2624833.0,2165890.0,1730532.0,1339508.0,1
57,40.654,-73.9307,B02598,25382.0,48375.0,3526.0,3416.0,2795737.0,2466192.0,2141773.0,1729861.0,1373360.0,0
7,40.7472,-73.8743,B02598,20287.0,32140.0,6400.0,6765.0,2669969.0,2018343.0,1539214.0,1267723.0,999871.0,0
10,40.6882,-73.6667,B02682,42571.0,127792.0,5204.0,5140.0,883858.0,751486.0,597641.0,487471.0,357380.0,1
27,40.6525,-73.9104,B02617,30322.0,55238.0,3136.0,2987.0,2574918.0,2202235.0,1848256.0,1517521.0,1145332.0,0
32,40.683,-73.9768,B02598,62837.0,104331.0,2429.0,2462.0,2915455.0,2492075.0,2142232.0,1757311.0,1366151.0,1
59,40.7166,-73.5732,B02617,40410.0,111674.0,5991.0,6221.0,643531.0,549977.0,479292.0,390302.0,307713.0,1
55,40.5893,-73.969,B02617,27853.0,45938.0,4470.0,4264.0,1438341.0,1274342.0,1097451.0,882964.0,702025.0,0
32,40.9135,-73.8929,B02617,16141.0,39275.0,7459.0,7069.0,1408757.0,1141837.0,912211.0,696767.0,509874.0,0
0,40.7599,-73.9071,B02598,17301.0,20920.0,3558.0,3788.0,3235300.0,2703448.0,2040217.0,1413970.0,1122697.0,0
20,40.6723,-73.8912,B02598,22068.0,38482.0,3075.0,2947.0,2682780.0,2183243.0,1779104.0,1403889.0,1085284.0,0
8,40.9219,-73.8627,B02617,34234.0,74643.0,3145.0,3429.0,1098627.0,936456.0,767269.0,593720.0,441466.0,1
45,40.7539,-73.8707,B02617,24380.0,64545.0,3566.0,3792.0,2495437.0,1886668.0,1387430.0,1141384.0,972127.0,0
1,40.748,-73.7823,B02512,33750.0,84464.0,3444.0,3323.0,1592654.0,1305373.0,1071837.0,785548.0,593103.0,1
13,40.602,-73.9402,B02682,36632.0,66445.0,2821.0,2568.0,1811237.0,1538244.0,1310346.0,1102275.0,880027.0,1
44,40.8289,-73.8715,B02617,25024.0,48730.0,3435.0,3358.0,2407662.0,2069763.0,1797835.0,1468184.0,1137483.0,0
34,40.716,-73.8566,B02617,41590.0,87404.0,2412.0,2331.0,2521676.0,2134374.0,1834588.0,1505303.0,1153012.0,1
43,40.7173,-73.9569,B02598,53388.0,98875.0,2761.0,2843.0,3252049.0,2727262.0,2236119.0,1801179.0,1412847.0,1
30,40.8047,-73.9538,B02617,32101.0,47059.0,7337.0,7110.0,2897168.0,2496722.0,2093046.0,1820787.0,1463772.0,0
35,40.6192,-73.9949,B02598,20231.0,49357.0,2548.0,2404.0,1929894.0,1674214.0,1460850.0,1261144.0,1059199.0,0
25,40.673,-73.9262,B02617,23801.0,36172.0,3412.0,3376.0,2879821.0,2480178.0,2128964.0,1779171.0,1501409.0,0
51,40.8205,-73.8529,B02682,22996.0,36567.0,3466.0,3701.0,2400740.0,1820067.0,1383248.0,1038318.0,684952.0,0
5,40.7536,-73.6302,B02617,46819.0,91096.0,6860.0,6907.0,587375.0,504989.0,401619.0,308117.0,222018.0,1
45,40.6608,-73.9612,B02617,32617.0,61974.0,5985.0,5811.0,2900636.0,2643297.0,2293993.0,1906464.0,1481808.0,0
1,40.8032,-73.9566,B02598,42750.0,66103.0,2460.0,2228.0,2888404.0,2406545.0,2040787.0,1778349.0,1409441.0,1
26,40.821,-73.9377,B02598,17982.0,33586.0,8512.0,8788.0,2820806.0,2543355.0,2161903.0,1804193.0,1447066.0,0
27,41.0773,-73.8684,B02598,41655.0,93722.0,5591.0,5363.0,206576.0,148744.0,127560.0,98995.0,76399.0,1
25,40.6129,-74.0337,B02682,46389.0,66750.0,1608.0,1622.0,1454152.0,1201341.0,971156.0,792591.0,635119.0,1
42,40.7443,-73.8803,B02617,26896.0,61645.0,8744.0,8359.0,2732747.0,2096317.0,1596687.0,1227260.0,992491.0,0
2,40.6103,-73.9262,B02598,35352.0,84750.0,1670.0,1687.0,1900292.0,1594449.0,1351090.0,1072725.0,794366.0,1
5,40.8268,-73.8599,B02617,26299.0,49706.0,1428.0,1489.0,2296282.0,1909593.0,1510115.0,1264443.0,959352.0,0
5,40.761,-73.8687,B02598,22981.0,53807.0,1960.0,2014.0,2493698.0,1890702.0,1412934.0,1107163.0,945685.0,0
19,40.772,-73.8447,B02598,27188.0,69886.0,1418.0,1234.0,1949406.0,1588836.0,1219989.0,942069.0,712217.0,1
44,40.6987,-73.959,B02617,14560.0,32963.0,3612.0,3539.0,3226465.0,2608105.0,2115703.0,1776412.0,1425377.0,0
35,40.674,-73.7316,B02512,40817.0,110129.0,3853.0,4169.0,1060292.0,889358.0,698353.0,560284.0,432446.0,1
31,40.6295,-73.9875,B02617,17239.0,28399.0,3990.0,4043.0,2186595.0,1936162.0,1695847.0,1400049.0,1162966.0,0
7,41.0097,-73.8636,B02617,56329.0,142750.0,6887.0,6798.0,339885.0,278530.0,198153.0,159001.0,112745.0,1
